Client,Project,Status,Confidence,Priority,Amount (VAT-Ex.) (PHP),Amount (VAT-Ex.) (USD),Quick Remarks,Sign Date,Source,BD,AM,PM,MKT,Project Code,Signed CE (PDF),Internal CE (Sheet),VAT%,Amount (VAT-Inc.),GP%,GP,Invoice(s),Payment Dates,Last Updated,Other Attachments,Other Links,Week Number,RFP Received Date,RFPR-WeekNum,Tribe,Pipeline Tier,Year,Month,Project Start,Project End,AM Weight,AM Lookup,Weighted Amount (PHP),Weighted Amount (USD),Weighted Pitch Phase (PHP),Weighted Awarded Phase (PHP),Weighted Collection Phase (PHP),Weighted Completed Cycle (PHP),Lead Progress,Lead Phase,Lead Date,Lead Month,Lead Week,Qualified Lead,% Collected,Amount Collected (PHP)
Acme Corp,Corporate Team Building,Talks In Progress,70%,Medium,3500000,61403.51,,,Inbound,Isabella R. Fontanilla,Sofia Beatrice Luna Torres,Carmen Reyes,,PRJ-2026-048,,,12%,3920000.0,,,,,2026-03-24,,,10,2026-01-02,6,PDEI - Marketing,Pipeline Tier B (60% - 80%),2026,March,2026-03-14,2026-06-22,1.0,Sofia,3500000.0,61403.51,3500000.0,0,0,0,Completed,4 - ITQ/RFQ/RFP,2026-01-21,1 - Jan,8,,,
Nova Studios,Product Launch Event,CE/Pitch Submitted,90%,Medium,4800000,84210.53,High priority client,,Inbound,Nathan Kai Villanueva Tan,Maria Elena Rosales Bautista,Carmen Reyes,Events Team,PRJ-2026-049,,https://docs.google.com/spreadsheets/d/fake_49,12%,5376000.0,30%,1440000.0,,,2026-03-21,,,11,2026-03-03,6,PDEI - Tencent,Pipeline Tier A (90%),2026,January,2026-01-11,2026-04-27,1.0,Maria,4800000.0,84210.53,4800000.0,0,0,0,Completed,2 - Sources,2026-03-14,3 - Mar,11,Yes,,
Stellar Games,Brand Ambassador Program,For CE/Pitch Creation,70%,Medium,5500000,96491.23,New partnership opportunity,,Event Lead,Lucas Gabriel Domingo,"Diego Alejandro Reyes, Santiago, III Villanueva",Ryan Lim,Social Team,PRJ-2026-050,,https://docs.google.com/spreadsheets/d/fake_50,12%,6160000.0,25%,1375000.0,,,2026-03-29,,,12,,,PDEI - Moonton,Pipeline Tier B (60% - 80%),2026,March,2026-03-05,2026-05-28,1.0,DA,5500000.0,96491.23,5500000.0,0,0,0,Completed,4 - ITQ/RFQ/RFP,2026-02-19,2 - Feb,11,No,,
Zenith Tech,Mobile Gaming Workshop,Talent Sourcing,50%,Medium,1800000,31578.95,Contract signed,,Repeat Client,Isabella R. Fontanilla,Andres Felipe Navarro Castillo,Miguel Santos,,PRJ-2026-051,,https://docs.google.com/spreadsheets/d/fake_51,0%,1800000.0,,,,,2026-03-27,,,10,2026-02-15,11,PDEI - Esports,Pipeline Tier C (50%),2026,February,2026-02-15,2026-05-19,1.0,Andres,1800000.0,31578.95,1800000.0,0,0,0,On Hold,1 - Know your client,2026-02-23,2 - Feb,12,,,
Phoenix Interactive,Digital Collectibles Drop,Talks In Progress,70%,Medium,3200000,56140.35,Pending legal review,,Outbound,Nathan Kai Villanueva Tan,Rafael Antonio Cruz Mendoza,Lucia Mendez,Events Team,PRJ-2026-052,,https://docs.google.com/spreadsheets/d/fake_52,12%,3584000.0,,,,,2026-03-30,,,11,,,PDEI - Tencent,Pipeline Tier B (60% - 80%),2026,March,2026-03-04,2026-06-21,1.0,Rafa,3200000.0,56140.35,3200000.0,0,0,0,Active,2 - Sources,2026-02-15,2 - Feb,10,,,
Crimson Media,Gaming Awards Show,CE/Pitch Submitted,90%,High,8500000,149122.81,Final review stage,,Referral,Lucas Gabriel Domingo,Sofia Beatrice Luna Torres,Ana Gutierrez,Social Team,PRJ-2026-053,,https://docs.google.com/spreadsheets/d/fake_53,12%,9520000.0,35%,2975000.0,,,2026-03-24,,,12,,,PDEI - Moonton,Pipeline Tier A (90%),2026,January,2026-01-14,2026-03-16,1.0,Sofia,8500000.0,149122.81,8500000.0,0,0,0,Completed,4 - ITQ/RFQ/RFP,2026-01-18,1 - Jan,13,No,,
BlueSky Digital,Summer Gaming Festival 2026,For CE/Pitch Creation,70%,High,12000000,210526.32,Budget confirmed,,Event Lead,Isabella R. Fontanilla,Maria Elena Rosales Bautista,Paolo Dela Cruz,,PRJ-2026-054,,https://docs.google.com/spreadsheets/d/fake_54,12%,13440000.0,,,,,2026-03-31,,,11,2026-03-10,6,PDEI - Marketing,Pipeline Tier B (60% - 80%),2026,February,2026-02-06,2026-05-26,1.0,Maria,12000000.0,210526.32,12000000.0,0,0,0,Active,4 - ITQ/RFQ/RFP,2026-03-24,3 - Mar,4,No,,
Vanguard Entertainment,Esports Viewing Party,Signed CE,100%,Medium,1200000,21052.63,Budget confirmed,2026-01-06,Referral,Lucas Gabriel Domingo,Rafael Antonio Cruz Mendoza,Ana Gutierrez,,PRJ-2026-055,CE_PRJ-2026-055.pdf,https://docs.google.com/spreadsheets/d/fake_55,12%,1344000.0,40%,480000.0,,,2026-03-22,,,8,2026-02-06,5,PDEI - Esports,Signed CE,2026,January,2026-01-06,2026-02-19,1.0,Rafa,1200000.0,21052.63,0,1200000.0,0,0,,3 - Revenue building activities,2026-02-09,2 - Feb,6,,,
Nebula Media,MLBB Fan Meetup,For Collection - Invoice Sent,100%,Medium,2500000,43859.65,Follow-up needed,2026-01-12,Event Lead,Nathan Kai Villanueva Tan,Maria Elena Rosales Bautista,Paolo Dela Cruz,,PRJ-2026-056,CE_PRJ-2026-056.pdf,https://docs.google.com/spreadsheets/d/fake_56,12%,2800000.0,30%,750000.0,INV-2026-056,,2026-03-24,,,7,2026-02-12,12,PDEI - Moonton,Signed CE,2026,January,2026-01-08,2026-04-19,1.0,Maria,2500000.0,43859.65,0,0,2500000.0,0,Active,4 - ITQ/RFQ/RFP,2026-02-19,2 - Feb,7,No,0%,0.0
Horizon Digital,Tencent Brand Day,CE/Pitch Submitted,90%,Medium,6000000,105263.16,Waiting for client approval,,Repeat Client,Isabella R. Fontanilla,"Diego Alejandro Reyes, Santiago, III Villanueva",Paolo Dela Cruz,Content Team,PRJ-2026-057,,https://docs.google.com/spreadsheets/d/fake_57,0%,6000000.0,30%,1800000.0,,,2026-03-29,,,10,,,PDEI - Tencent,Pipeline Tier A (90%),2026,January,2026-01-04,2026-03-24,1.0,DA,6000000.0,105263.16,6000000.0,0,0,0,On Hold,3 - Revenue building activities,2026-03-14,3 - Mar,3,,,
Eclipse Studios,Moonton Creator Awards,Talks In Progress,70%,Medium,4000000,70175.44,Waiting for client approval,,Event Lead,Lucas Gabriel Domingo,Andres Felipe Navarro Castillo,Ryan Lim,Events Team,PRJ-2026-058,,https://docs.google.com/spreadsheets/d/fake_58,12%,4480000.0,20%,800000.0,,,2026-03-27,,,11,,,PDEI - Moonton,Pipeline Tier B (60% - 80%),2026,February,2026-02-04,2026-05-18,1.0,Andres,4000000.0,70175.44,4000000.0,0,0,0,Completed,3 - Revenue building activities,2026-03-25,3 - Mar,4,Yes,,
Pinnacle Sports,PUBG Mobile Community Day,For CE/Pitch Creation,60%,Medium,3500000,61403.51,High priority client,,,Nathan Kai Villanueva Tan,Sofia Beatrice Luna Torres,Ryan Lim,Social Team,PRJ-2026-059,,https://docs.google.com/spreadsheets/d/fake_59,12%,3920000.0,25%,875000.0,,,2026-03-21,,,12,2026-03-10,8,PDEI - Tencent,Pipeline Tier B (60% - 80%),2026,February,2026-02-03,2026-03-17,1.0,Sofia,3500000.0,61403.51,3500000.0,0,0,0,On Hold,3 - Revenue building activities,2026-03-10,3 - Mar,7,,,
Quantum Labs,Esports Talent Showcase,Talent Sourcing,50%,Medium,2000000,35087.72,Contract signed,,,Isabella R. Fontanilla,Rafael Antonio Cruz Mendoza,Miguel Santos,Social Team,PRJ-2026-060,,,12%,2240000.0,40%,800000.0,,,2026-03-26,,,9,2026-02-09,12,PDEI - Esports,Pipeline Tier C (50%),2026,February,2026-02-14,2026-05-20,1.0,Rafa,2000000.0,35087.72,2000000.0,0,0,0,Active,1 - Know your client,2026-02-13,2 - Feb,11,Yes,,
Omega Networks,Marketing Summit 2026,CE/Pitch Submitted,90%,High,10000000,175438.6,Deliverables in progress,,Referral,Lucas Gabriel Domingo,Maria Elena Rosales Bautista,Miguel Santos,Events Team,PRJ-2026-061,,https://docs.google.com/spreadsheets/d/fake_61,0%,10000000.0,35%,3500000.0,,,2026-03-20,,,11,,,PDEI - Marketing,Pipeline Tier A (90%),2026,March,2026-03-04,2026-06-16,1.0,Maria,10000000.0,175438.6,10000000.0,0,0,0,On Hold,4 - ITQ/RFQ/RFP,2026-03-25,3 - Mar,9,Yes,,
Atlas Entertainment,Honor of Kings Fan Fest,Talks In Progress,60%,Medium,5500000,96491.23,Waiting for client approval,,Repeat Client,Nathan Kai Villanueva Tan,Andres Felipe Navarro Castillo,Ana Gutierrez,,PRJ-2026-062,,https://docs.google.com/spreadsheets/d/fake_62,12%,6160000.0,20%,1100000.0,,,2026-03-24,,,12,2026-03-20,9,PDEI - Tencent,Pipeline Tier B (60% - 80%),2026,February,2026-02-06,2026-05-26,1.0,Andres,5500000.0,96491.23,5500000.0,0,0,0,Completed,4 - ITQ/RFQ/RFP,2026-03-18,3 - Mar,13,Yes,,
Fusion Creative,MLBB School League,For CE/Pitch Creation,70%,Medium,3000000,52631.58,Timeline adjusted,,Referral,Isabella R. Fontanilla,"Diego Alejandro Reyes, Santiago, III Villanueva",Miguel Santos,Events Team,PRJ-2026-063,,https://docs.google.com/spreadsheets/d/fake_63,12%,3360000.0,,,,,2026-03-30,,,10,2026-01-15,4,PDEI - Moonton,Pipeline Tier B (60% - 80%),2026,January,2026-01-11,2026-03-23,1.0,DA,3000000.0,52631.58,3000000.0,0,0,0,,3 - Revenue building activities,2026-01-13,1 - Jan,6,Yes,,
Summit Digital,Gaming Career Fair,Talent Sourcing,50%,Medium,2500000,43859.65,On track,,Outbound,Lucas Gabriel Domingo,Sofia Beatrice Luna Torres,Lucia Mendez,,PRJ-2026-064,,,0%,2500000.0,25%,625000.0,,,2026-03-22,,,11,,,PDEI - Marketing,Pipeline Tier C (50%),2026,January,2026-01-13,2026-04-18,1.0,Sofia,2500000.0,43859.65,2500000.0,0,0,0,Completed,1 - Know your client,2026-03-23,3 - Mar,6,No,,
Radiant Media,Q2 Planning Workshop,Talks In Progress,80%,Medium,4500000,78947.37,Pending legal review,,Inbound,Nathan Kai Villanueva Tan,Andres Felipe Navarro Castillo,Miguel Santos,Social Team,PRJ-2026-065,,https://docs.google.com/spreadsheets/d/fake_65,0%,4500000.0,20%,900000.0,,,2026-03-20,,,13,,,PDEI - Marketing,Pipeline Tier B (60% - 80%),2026,March,2026-03-14,2026-04-17,1.0,Andres,4500000.0,78947.37,4500000.0,0,0,0,Completed,1 - Know your client,2026-02-23,2 - Feb,8,Yes,,
Pulse Gaming,MLBB Mid-Season Invitational,CE/Pitch Submitted,90%,High,9500000,166666.67,Negotiating terms,,Repeat Client,Lucas Gabriel Domingo,Rafael Antonio Cruz Mendoza,Lucia Mendez,,PRJ-2026-066,,https://docs.google.com/spreadsheets/d/fake_66,12%,10640000.0,30%,2850000.0,,,2026-03-27,,,13,2026-03-01,3,PDEI - Moonton,Pipeline Tier A (90%),2026,February,2026-02-09,2026-05-16,1.0,Rafa,9500000.0,166666.67,9500000.0,0,0,0,Completed,4 - ITQ/RFQ/RFP,2026-03-24,3 - Mar,3,Pending,,
Cobalt Studios,Tencent Innovation Lab,For CE/Pitch Creation,80%,Medium,6000000,105263.16,Scope finalized,,Inbound,Isabella R. Fontanilla,Maria Elena Rosales Bautista,Ana Gutierrez,Events Team,PRJ-2026-067,,https://docs.google.com/spreadsheets/d/fake_67,12%,6720000.0,15%,900000.0,,,2026-03-21,,,13,2026-02-20,9,PDEI - Tencent,Pipeline Tier B (60% - 80%),2026,February,2026-02-10,2026-03-16,1.0,Maria,6000000.0,105263.16,6000000.0,0,0,0,On Hold,2 - Sources,2026-02-17,2 - Feb,12,Pending,,
Ironclad Media,Esports Community Awards,Talks In Progress,80%,Medium,3000000,52631.58,Contract signed,,Repeat Client,Nathan Kai Villanueva Tan,"Diego Alejandro Reyes, Santiago, III Villanueva",Ryan Lim,,PRJ-2026-068,,https://docs.google.com/spreadsheets/d/fake_68,12%,3360000.0,30%,900000.0,,,2026-03-24,,,13,,,PDEI - Esports,Pipeline Tier B (60% - 80%),2026,January,2026-01-07,2026-03-28,1.0,DA,3000000.0,52631.58,3000000.0,0,0,0,,4 - ITQ/RFQ/RFP,2026-02-08,2 - Feb,8,,,
Prism Digital,Moonton Developer Day,Stalled,0%,Medium,2500000,43859.65,Waiting on internal approval,,Inbound,Lucas Gabriel Domingo,Sofia Beatrice Luna Torres,Ryan Lim,Events Team,PRJ-2026-069,,https://docs.google.com/spreadsheets/d/fake_69,0%,2500000.0,,,,,2026-03-25,,,8,2026-01-18,11,PDEI - Moonton,Lost,2026,January,,,1.0,Sofia,2500000.0,43859.65,0,0,0,0,On Hold,4 - ITQ/RFQ/RFP,2026-01-09,1 - Jan,11,Yes,,
Acme Corp,Tencent Partner Summit,Lost,0%,Medium,8000000,140350.88,Client chose in-house,,Repeat Client,Isabella R. Fontanilla,Andres Felipe Navarro Castillo,Paolo Dela Cruz,Content Team,PRJ-2026-070,,,12%,8960000.0,,,,,2026-03-27,,,6,,,PDEI - Tencent,Lost,2026,March,,,1.0,Andres,8000000.0,140350.88,0,0,0,0,On Hold,1 - Know your client,2026-02-16,2 - Feb,4,No,,
Nova Studios,Esports Documentary Series,Archived,0%,Medium,1800000,31578.95,Format changed,,Inbound,Nathan Kai Villanueva Tan,Maria Elena Rosales Bautista,Ana Gutierrez,Content Team,PRJ-2026-071,,https://docs.google.com/spreadsheets/d/fake_71,12%,2016000.0,25%,450000.0,,,2026-03-24,,,4,,,PDEI - Esports,Lost,2026,February,,,1.0,Maria,1800000.0,31578.95,0,0,0,0,Active,2 - Sources,2026-02-24,2 - Feb,13,Pending,,
Stellar Games,Gaming x Fashion Collab,CE/Pitch Submitted,90%,Medium,7000000,122807.02,Final review stage,,Outbound,Lucas Gabriel Domingo,Rafael Antonio Cruz Mendoza,Carmen Reyes,Content Team,PRJ-2026-072,,,12%,7840000.0,20%,1400000.0,,,2026-03-27,,,12,,,PDEI - Marketing,Pipeline Tier A (90%),2026,March,2026-03-11,2026-05-16,1.0,Rafa,7000000.0,122807.02,7000000.0,0,0,0,Active,2 - Sources,2026-03-07,3 - Mar,11,No,,
Zenith Tech,MLBB Legends Reunion,Signed CE,100%,Medium,2800000,49122.81,Timeline adjusted,2026-01-06,Event Lead,Isabella R. Fontanilla,"Diego Alejandro Reyes, Santiago, III Villanueva",Carmen Reyes,Content Team,PRJ-2026-073,CE_PRJ-2026-073.pdf,https://docs.google.com/spreadsheets/d/fake_73,12%,3136000.0,35%,980000.0,,,2026-03-24,,,10,2026-03-15,9,PDEI - Moonton,Signed CE,2026,January,2026-01-03,2026-02-27,1.0,DA,2800000.0,49122.81,0,2800000.0,0,0,Active,1 - Know your client,2026-03-13,3 - Mar,10,,,
Phoenix Interactive,Tencent Cloud Summit,For Collection - For Invoicing,100%,Medium,3500000,61403.51,Timeline adjusted,2026-03-23,,Nathan Kai Villanueva Tan,Andres Felipe Navarro Castillo,Ana Gutierrez,Content Team,PRJ-2026-074,CE_PRJ-2026-074.pdf,https://docs.google.com/spreadsheets/d/fake_74,12%,3920000.0,25%,875000.0,INV-2026-074,,2026-03-24,,,9,,,PDEI - Tencent,Signed CE,2026,March,2026-03-08,2026-06-25,1.0,Andres,3500000.0,61403.51,0,0,3500000.0,0,Completed,3 - Revenue building activities,2026-01-17,1 - Jan,12,Yes,,
Crimson Media,Esports Health Initiative,Talks In Progress,70%,Medium,1500000,26315.79,Follow-up needed,,,Lucas Gabriel Domingo,Sofia Beatrice Luna Torres,Carmen Reyes,Content Team,PRJ-2026-075,,https://docs.google.com/spreadsheets/d/fake_75,0%,1500000.0,30%,450000.0,,,2026-03-25,,,11,2026-03-15,4,PDEI - Esports,Pipeline Tier B (60% - 80%),2026,February,2026-02-03,2026-03-21,1.0,Sofia,1500000.0,26315.79,1500000.0,0,0,0,On Hold,2 - Sources,2026-03-07,3 - Mar,9,Yes,,
BlueSky Digital,Holiday Brand Campaign,For CE/Pitch Creation,70%,Medium,5500000,96491.23,Deliverables in progress,,Referral,Isabella R. Fontanilla,Maria Elena Rosales Bautista,Ryan Lim,Events Team,PRJ-2026-076,,https://docs.google.com/spreadsheets/d/fake_76,0%,5500000.0,15%,825000.0,,,2026-03-26,,,10,2026-01-17,4,PDEI - Marketing,Pipeline Tier B (60% - 80%),2026,January,2026-01-13,2026-04-22,1.0,Maria,5500000.0,96491.23,5500000.0,0,0,0,,3 - Revenue building activities,2026-01-08,1 - Jan,6,,,
Vertex Technologies,Moonton Data Analytics,CE/Pitch Submitted,90%,Medium,3800000,66666.67,Timeline adjusted,,Event Lead,Nathan Kai Villanueva Tan,Andres Felipe Navarro Castillo,Miguel Santos,Content Team,PRJ-2026-077,,,12%,4256000.0,15%,570000.0,,,2026-03-24,,,11,,,PDEI - Moonton,Pipeline Tier A (90%),2026,March,2026-03-02,2026-06-23,1.0,Andres,3800000.0,66666.67,3800000.0,0,0,0,On Hold,2 - Sources,2026-02-25,2 - Feb,5,No,,
Cobalt Studios,Marketing Innovation Lab,Talks In Progress,60%,Medium,4200000,73684.21,Deliverables in progress,,Repeat Client,Isabella R. Fontanilla,Rafael Antonio Cruz Mendoza,Miguel Santos,,PRJ-2026-078,,https://docs.google.com/spreadsheets/d/fake_78,12%,4704000.0,40%,1680000.0,,,2026-03-30,,,12,2026-03-16,10,PDEI - Marketing,Pipeline Tier B (60% - 80%),2026,February,2026-02-13,2026-05-27,1.0,Rafa,4200000.0,73684.21,4200000.0,0,0,0,On Hold,4 - ITQ/RFQ/RFP,2026-03-25,3 - Mar,8,No,,
Ironclad Media,PUBG Mobile Showcase,For CE/Pitch Creation,70%,Medium,2800000,49122.81,Timeline adjusted,,Repeat Client,Lucas Gabriel Domingo,"Diego Alejandro Reyes, Santiago, III Villanueva",Lucia Mendez,,PRJ-2026-079,,https://docs.google.com/spreadsheets/d/fake_79,12%,3136000.0,25%,700000.0,,,2026-03-27,,,10,2026-01-18,3,PDEI - Tencent,Pipeline Tier B (60% - 80%),2026,February,2026-02-01,2026-03-20,1.0,DA,2800000.0,49122.81,2800000.0,0,0,0,Active,3 - Revenue building activities,2026-01-24,1 - Jan,12,,,
Prism Digital,Esports Fan Experience,Talent Sourcing,50%,Medium,1600000,28070.18,Client requested revision,,Repeat Client,Nathan Kai Villanueva Tan,Maria Elena Rosales Bautista,Paolo Dela Cruz,,PRJ-2026-080,,https://docs.google.com/spreadsheets/d/fake_80,0%,1600000.0,15%,240000.0,,,2026-03-29,,,11,2026-03-17,11,PDEI - Esports,Pipeline Tier C (50%),2026,January,2026-01-13,2026-03-26,1.0,Maria,1600000.0,28070.18,1600000.0,0,0,0,Completed,1 - Know your client,2026-03-06,3 - Mar,6,,,
Apex Gaming,Moonton Partnership Renewal,Signed CE,100%,Medium,2700000,47368.42,Pending legal review,2026-03-06,,Isabella R. Fontanilla,Sofia Beatrice Luna Torres,Carmen Reyes,Events Team,PRJ-2026-081,CE_PRJ-2026-081.pdf,https://docs.google.com/spreadsheets/d/fake_81,12%,3024000.0,25%,675000.0,,,2026-03-31,,,11,,,PDEI - Moonton,Signed CE,2026,March,2026-03-13,2026-06-25,1.0,Sofia,2700000.0,47368.42,0,2700000.0,0,0,On Hold,3 - Revenue building activities,2026-01-08,1 - Jan,11,,,
Titan Brands,Tencent Gaming Gala,CE/Pitch Submitted,90%,High,7200000,126315.79,Follow-up needed,,,Lucas Gabriel Domingo,Andres Felipe Navarro Castillo,Lucia Mendez,Social Team,PRJ-2026-082,,https://docs.google.com/spreadsheets/d/fake_82,12%,8064000.0,25%,1800000.0,,,2026-03-30,,,12,2026-02-17,4,PDEI - Tencent,Pipeline Tier A (90%),2026,March,2026-03-11,2026-05-17,1.0,Andres,7200000.0,126315.79,7200000.0,0,0,0,,1 - Know your client,2026-02-25,2 - Feb,8,No,,
Vertex Technologies,Esports Training Camp,For CE/Pitch Creation,70%,Medium,2200000,38596.49,Negotiating terms,,Referral,Nathan Kai Villanueva Tan,Rafael Antonio Cruz Mendoza,Ana Gutierrez,Content Team,PRJ-2026-083,,,0%,2200000.0,20%,440000.0,,,2026-03-29,,,10,2026-01-20,5,PDEI - Esports,Pipeline Tier B (60% - 80%),2026,February,2026-02-04,2026-03-17,1.0,Rafa,2200000.0,38596.49,2200000.0,0,0,0,On Hold,2 - Sources,2026-01-08,1 - Jan,11,Yes,,
Apex Gaming,Marketing Blitz Q2,Talks In Progress,60%,Medium,8500000,149122.81,Timeline adjusted,,Repeat Client,Isabella R. Fontanilla,Maria Elena Rosales Bautista,Miguel Santos,,PRJ-2026-084,,https://docs.google.com/spreadsheets/d/fake_84,12%,9520000.0,15%,1275000.0,,,2026-03-27,,,12,,,PDEI - Marketing,Pipeline Tier B (60% - 80%),2026,February,2026-02-11,2026-05-18,1.0,Maria,8500000.0,149122.81,8500000.0,0,0,0,On Hold,4 - ITQ/RFQ/RFP,2026-03-19,3 - Mar,6,No,,
